dataset,sense,score_mean,score_sd,coverage_mean,coverage_sd,entropy_corr_rho,entropy_corr_p,n_unique_authors
storyscope_gemini,visual,2.5530147095000544,0.06609148943827235,0.9619859890030508,0.016958097841323704,-0.32702041051681563,2.3458399133991062e-183,2549
storyscope_gemini,interoceptive,1.0995550031335863,0.08373485541069318,0.9619859890030508,0.016958097841323704,0.7721972179791347,0.0,2549
storyscope_gpt,auditory,1.650725451784803,0.0613678729764786,0.9693113714214276,0.01473011164093223,0.25881218444955123,2.6927386500797565e-113,2549
storyscope_gpt,gustatory,0.39536362360740895,0.03341763834186219,0.9693113714214276,0.01473011164093223,0.9374094438763662,0.0,2549
storyscope_gpt,olfactory,0.5128051336381417,0.036218907745251064,0.9693113714214276,0.01473011164093223,0.8651648299410125,0.0,2549
storyscope_gpt,haptic,1.1489728055317487,0.06740186544726627,0.9693113714214276,0.01473011164093223,0.27276729946091366,4.104330419285468e-126,2549
storyscope_gpt,visual,2.577775454632412,0.06621117684908334,0.9693113714214276,0.01473011164093223,-0.4565167198186666,0.0,2549
storyscope_gpt,interoceptive,1.1068050165331436,0.08086163413039624,0.9693113714214276,0.01473011164093223,0.7821393982615134,0.0,2549
storyscope_kimi,auditory,1.597292591602763,0.0678586494834046,0.9614501791154816,0.01804906681217974,0.18374312541978946,4.5256276760773463e-57,2549
storyscope_kimi,gustatory,0.40949561956332114,0.04063265234819252,0.9614501791154816,0.01804906681217974,0.9137648175607234,0.0,2549
storyscope_kimi,olfactory,0.5364747455228362,0.04369098626086731,0.9614501791154816,0.01804906681217974,0.8313264399697606,0.0,2549
storyscope_kimi,haptic,1.2014220740379113,0.08119755539556905,0.9614501791154816,0.01804906681217974,0.34361693695442164,1.1252160037228738e-203,2549
storyscope_kimi,visual,2.5823116646761886,0.07332966785199216,0.9614501791154816,0.01804906681217974,-0.2947282100803407,7.123665054538711e-148,2549
storyscope_kimi,interoceptive,1.1120280136569822,0.0950325192394236,0.9614501791154816,0.01804906681217974,0.7543722839858605,0.0,2549
