word,auditory.mean,gustatory.mean,haptic.mean,interoceptive.mean,olfactory.mean,visual.mean,foot_leg.mean,hand_arm.mean,head.mean,mouth.mean,torso.mean,auditory.sd,gustatory.sd,haptic.sd,interoceptive.sd,olfactory.sd,visual.sd,foot_leg.sd,hand_arm.sd,head.sd,mouth.sd,torso.sd
hypodermal,0.315789474,0.0,2.157894737,1.368421053,0.052631579,1.894736842,1.08,1.72,1.2,0.64,1.2,1.157230006,0.0,2.192491173,1.801558779,0.229415734,2.105409352,1.730125236,1.968925257,1.825741858,1.254325848,1.732050808
hypodermic,0.28125,0.0625,1.875,1.46875,0.09375,3.0,1.117647059,2.235294118,0.941176471,0.058823529,0.941176471,0.958304114,0.353553391,2.012060411,1.883448707,0.390150922,1.983805401,1.996320144,2.222875721,1.638237934,0.242535625,1.748949264
hypoglycemia,1.0,0.533333333,0.266666667,2.666666667,0.333333333,1.266666667,0.733333333,0.8,1.266666667,1.266666667,1.466666667,1.647508942,1.407463101,0.703731551,2.225394561,0.899735411,1.624221425,1.579632266,1.473576795,1.709915063,1.667618776,1.959105724
hypoglycemic,0.083333333,0.75,0.083333333,3.583333333,0.25,0.166666667,0.8125,0.8125,1.3125,1.6875,1.8125,0.288675135,1.055289706,0.288675135,1.880924982,0.866025404,0.389249472,1.470544117,1.470544117,1.579820665,1.956825661,1.869714773
hypotension,0.1875,0.0,0.375,3.4375,0.0,0.875,1.058823529,1.411764706,2.058823529,1.235294118,1.882352941,0.543905629,0.0,0.718795288,1.787689384,0.0,1.454876856,1.477776549,1.460257834,2.164214298,1.601928984,2.057983022
hypotenuse,0.5,0.333333333,1.083333333,0.416666667,0.25,3.5,0.25,0.75,1.75,0.333333333,0.416666667,1.0,1.154700538,1.831955405,1.164500153,0.866025404,2.067057637,0.621581561,1.288057029,1.912875038,0.887625365,1.443375673
hypothermal,0.647058824,0.470588235,3.588235294,2.823529412,0.764705882,1.764705882,2.5,2.555555556,2.555555556,1.611111111,2.444444444,1.114740803,1.178857872,1.905873275,2.038237416,1.751050105,1.888432279,1.947849493,1.916560099,1.916560099,1.974510777,2.035630332
hypothermia,0.705882353,0.117647059,3.411764706,3.823529412,0.235294118,1.352941176,3.058823529,3.117647059,2.941176471,1.823529412,3.647058824,1.531531337,0.332105582,1.970368732,1.944070926,0.752446989,2.148871113,1.919328927,1.932690901,1.951620744,1.91165158,1.656093916
hypothermic,0.428571429,0.357142857,1.571428571,2.928571429,0.357142857,0.785714286,2.75,2.916666667,2.833333333,1.25,3.0,0.937614462,0.841897386,1.785164751,2.092634913,0.841897386,1.188313053,1.912875038,1.781640375,1.850470866,1.288057029,1.705605731
hypotheses,2.472222222,0.083333333,0.166666667,0.583333333,0.027777778,2.194444444,0.0,0.210526316,2.578947368,1.263157895,0.0,1.812435002,0.368394199,0.560611911,1.250714082,0.166666667,1.801894946,0.0,0.535303379,2.243900113,1.851188965,0.0
hypothesis,2.352941176,0.176470588,0.117647059,0.470588235,0.117647059,2.294117647,0.0,0.210526316,2.210526316,0.736842105,0.0,1.800735144,0.727606875,0.48507125,1.280510009,0.48507125,1.649420576,0.0,0.713282504,2.043388998,1.326738074,0.0
hypothesize,3.571428571,0.380952381,0.80952381,1.285714286,0.380952381,2.380952381,0.090909091,0.681818182,3.272727273,2.636363636,0.227272727,1.599106894,1.244033379,1.503963019,1.847778589,1.244033379,1.883512423,0.426401433,1.427163809,1.93173542,2.127942323,0.611930449
hypothetical,2.029411765,0.088235294,0.058823529,1.147058824,0.088235294,1.0,0.233333333,0.533333333,2.866666667,1.833333333,0.166666667,1.946018377,0.378805704,0.238832574,1.743079006,0.287902241,1.53741223,0.678910554,0.973204211,2.2550072,2.052472577,0.461133037
hypothetically,2.0,0.0625,0.25,0.5625,0.0,1.3125,0.75,0.6,2.95,1.45,0.55,1.673320053,0.25,0.577350269,0.963932916,0.0,1.579820665,1.618153594,1.187655807,2.038446261,1.761428846,1.234376041
hypothyroidism,0.631578947,0.0,0.526315789,3.157894737,0.0,2.105263158,0.3125,0.3125,2.0,1.3125,0.6875,1.164785451,0.0,1.123902974,2.034785216,0.0,2.208436773,0.87321246,0.704154339,2.309401077,1.887458609,1.352466882
hysterectomy,0.6875,0.0,1.0,2.3125,0.125,2.5625,0.722222222,1.166666667,0.944444444,0.888888889,3.166666667,1.400892573,0.0,1.673320053,2.301267767,0.5,2.159282288,1.178511302,1.790497795,1.474178624,1.367216532,2.065116433
hysteria,3.375,0.0625,0.0,2.75,0.1875,3.8125,0.85,1.35,3.6,1.85,0.95,1.74642492,0.25,0.0,2.265686062,0.543905629,1.470544117,1.268027893,1.814415956,1.875043859,1.926955603,1.276302225
hysteric,2.166666667,0.0,0.166666667,3.611111111,0.0,2.277777778,1.210526316,1.736842105,3.368421053,2.421052632,1.263157895,2.036432867,0.0,0.707106781,1.819466272,0.0,2.080880909,1.843274483,2.207112373,1.73879033,2.219003517,1.820930936
hysterical,3.315789474,0.0,0.157894737,2.578947368,0.052631579,3.105263158,0.473684211,0.736842105,3.105263158,2.526315789,0.894736842,2.029029094,0.0,0.501459857,2.063324972,0.229415734,1.852767805,1.218761715,1.521771821,1.882514183,2.091475318,1.594948165
hysterically,2.823529412,0.058823529,0.588235294,2.058823529,0.411764706,2.764705882,1.375,2.0625,3.625,4.125,1.5,1.776066374,0.242535625,1.416810835,2.164214298,1.175735064,1.640480561,1.784189825,1.913765921,1.707825128,1.668332501,1.712697677
hysterics,2.611111111,0.0,0.111111111,2.277777778,0.0,3.722222222,0.8125,1.4375,3.1875,2.75,1.0625,2.118237027,0.0,0.323380833,2.217724206,0.0,1.67351534,1.376892637,1.590335394,1.759498034,1.843908891,1.569235483
i,2.384615385,1.076923077,2.0,3.923076923,1.538461538,2.307692308,1.5,1.4,2.7,1.9,1.3,2.256046008,1.846687957,2.121320344,1.934835844,1.983909634,2.097006413,2.223610677,2.118699811,2.311805451,2.183269719,2.057506582
ibuprofen,0.470588235,1.823529412,1.647058824,2.117647059,0.058823529,3.0,1.157894737,2.263157895,3.210526316,4.157894737,1.631578947,0.717430054,1.467791458,1.729926894,1.653872461,0.242535625,2.091650066,1.462993806,1.62761261,1.750522061,1.213953957,1.605910137
ice,1.375,2.625,3.75,1.3125,0.125,4.3125,1.65,3.45,2.35,3.65,1.3,1.586400538,2.061552813,1.653279569,1.740450133,0.341565026,1.302241657,1.663066287,1.538112309,1.980829172,1.182103388,1.380312703
ice bucket,1.166666667,0.444444444,3.555555556,0.388888889,0.444444444,4.055555556,0.857142857,2.952380952,2.0,1.0,1.238095238,1.917412472,0.921777198,1.68809751,0.849836586,1.247219129,1.513555309,1.31475147,1.532194194,1.897366596,1.549193338,1.513431925
ice cap,0.888888889,0.166666667,1.444444444,0.444444444,0.277777778,3.0,1.0,1.15,2.25,0.25,0.5,1.182663439,0.514495755,1.789584974,0.983524408,0.669113158,2.222875721,1.777046633,1.694418081,2.074278568,0.716350399,1.147078669
ice cold,0.125,1.3125,4.5,2.0625,0.1875,1.6875,2.15,2.55,1.6,1.95,2.35,0.341565026,1.579820665,1.316561177,1.982212568,0.543905629,1.701714821,1.814415956,1.791059669,1.602629418,1.848897253,1.87153188
ice cream,0.555555556,4.555555556,3.111111111,1.944444444,2.222222222,3.5,0.055555556,1.944444444,1.444444444,4.666666667,0.722222222,1.381483526,1.199128224,1.875190622,1.984416412,1.986885104,1.757337558,0.23570226,1.797783675,1.381483526,0.594088526,1.319784098
ice cream cone,1.176470588,4.176470588,3.117647059,1.823529412,2.294117647,3.294117647,0.076923077,2.384615385,3.307692308,4.461538462,0.384615385,1.878672873,1.131110854,1.615640467,2.007339474,1.447614671,1.686887144,0.277350098,2.142368687,1.84321347,1.198289379,0.960768923
ice cube,0.473684211,2.631578947,3.894736842,0.789473684,0.263157895,4.052631579,0.210526316,1.894736842,1.631578947,3.0,0.315789474,1.020262551,1.801558779,1.370106924,1.474936811,0.733492806,1.17727011,0.418853908,1.760515608,1.706540566,1.795054936,0.582392725
ice hockey,2.352941176,0.0,0.588235294,0.529411765,0.235294118,3.235294118,3.095238095,3.047619048,3.19047619,1.285714286,2.238095238,1.729926894,0.0,1.064120736,1.178857872,0.752446989,1.855040827,2.211442107,2.178903175,1.88730092,1.616875293,1.841324575
ice pack,0.15,0.25,3.75,0.75,0.15,3.25,2.105263158,2.736842105,2.631578947,1.157894737,1.736842105,0.489360485,0.786397516,1.409553867,1.409553867,0.489360485,1.650358813,2.105409352,1.851188965,1.891810606,1.833732014,1.939132259
ice pick,1.058823529,0.294117647,3.647058824,0.529411765,0.294117647,3.764705882,0.3,3.9,1.65,0.55,0.45,1.784327192,1.212678125,1.538716042,1.504893977,1.212678125,1.678146737,1.128576187,1.682729612,2.158825217,1.394538218,1.276302225
ice rink,1.5,0.05,2.65,0.25,0.55,4.5,3.555555556,1.611111111,1.888888889,1.166666667,2.055555556,1.504379571,0.223606798,1.78517285,0.716350399,0.944513241,0.888523317,2.092626332,1.914000703,1.676441922,1.504893977,2.154945672
ice skater,2.277777778,0.055555556,0.444444444,0.388888889,0.166666667,4.555555556,3.142857143,1.714285714,2.571428571,0.857142857,1.80952381,1.67351534,0.23570226,1.041617646,0.916443823,0.383482494,0.983524408,2.174527863,1.647508942,1.963961012,1.492840055,1.860619456
ice skating,2.0,0.3125,2.25,0.9375,0.3125,4.0,3.7,1.9,2.4,0.8,1.95,2.0,1.25,1.653279569,1.806239187,1.25,1.366260102,1.719853115,1.586124041,1.984147702,1.50787407,1.820208201
ice storm,2.823529412,0.411764706,2.411764706,0.941176471,0.352941176,4.294117647,1.8,2.0,2.75,1.45,1.4,1.810914621,0.870260272,1.938389265,1.29762226,0.70188821,1.490163828,1.823819012,1.91942974,1.831737743,1.605090586,1.465390194
ice tea,0.25,4.85,1.3,0.45,2.0,3.0,0.526315789,2.052631579,2.263157895,4.578947368,0.947368421,0.716350399,0.489360485,1.922169827,1.190974833,1.716790151,1.685854461,1.263523339,1.957143162,1.967573386,1.216360211,1.580213917
ice water,1.277777778,3.444444444,3.5,1.555555556,0.166666667,3.444444444,0.684210526,2.421052632,1.473684211,3.789473684,0.947368421,1.872574684,1.722591147,1.382665797,1.916560099,0.514495755,1.854159782,1.335524515,1.835325871,1.678902454,1.812884361,1.544656891
iceberg,0.363636364,0.121212121,1.363636364,0.363636364,0.090909091,4.212121212,0.735294118,1.029411765,2.647058824,0.705882353,0.5,0.783349452,0.331433983,1.764549904,0.783349452,0.291937104,1.536179835,1.441985658,1.604638997,2.130334345,1.54781198,1.161242803
iceberg lettuce,0.266666667,4.4,1.666666667,0.133333333,1.466666667,4.266666667,0.105263158,2.315789474,2.0,3.947368421,0.736842105,0.703731551,0.828078671,1.838736626,0.516397779,2.030716505,1.032795559,0.315301768,1.600438536,1.972026594,1.649029486,0.805681579
